"Poll options for Poll time, friends! :pusheenrice:  Do your cats like hard food, soft food, or both? Select all that apply!",Number of votes,Voter user_ids
hard food,25,W0179RE4G1K;W017BA6SR6F;UDG7ZAALW;WAYP3B803;W017BA9SJJF;U7ANWETBP;W015JHRQFPV;UDFQVL7EE;U7ALCKN20;ULNBWCP8A;W0174C4LH1U;UT6FX5Y05;UG731LJGZ;W016WBS4M7H;UCVMW2UCU;U7A3LRVQ9;W017B42AS2W;UDTA6UZAR;U7ALGK0H2;UJMA00EEM;UTNT8B7EE;U7ALKANP6;W016WBNBFDM;W016WEP2V0X;W017PNEBZ7T
soft food,18,W0179RE4G1K;UDG7ZAALW;WAYP3B803;UDFQVL7EE;ULNBWCP8A;W0174C4LH1U;UT6FX5Y05;UG731LJGZ;W016WBS4M7H;UCVMW2UCU;U7A3LRVQ9;W017B42AS2W;UDTA6UZAR;UTNT8B7EE;U7ALKANP6;W016WBNBFDM;W016WEP2V0X;W017PNEBZ7T
